ngiemboon,en,,,,
"Mef?? p???n, á laa f??’ gie kwà’ mè? n da tóo lá’ pi léts?ii nò Ssé, á gw?? nò gie á la z??n ?gw?? p?? lely?en, n gwaa ts?ii mbwo pi, n tè l?g? ts?? shwó?è gie á t? t? ?ts?i w??, ?ké tè l?g p?? lény?? g?i ts?? mmó gie mè? s?en ?zsé t?’ ?d?g ?ts?i w??.","And I, brethren, when I came to you, came not with excellency of speech or of wisdom, declaring unto you the testimony of God. # https://www.bible.com/fr/bible/1/1CO.2.KJV #1",,,,
"Á nue n da záb ngie n t? ?gee zsé ts?? nò ndy??’? tsets??? pi tà á le gw?? p?? nò Y?sô Kristo, á Y?sô Kristo g?ie mé la kime yé nà tÿ? nk? w??.","For I determined not to know any thing among you, save Jesus Christ, and him crucified. # https://www.bible.com/fr/bible/1/1CO.2.KJV #2",,,,
"N da tyé tsets??? pi, ?jú’ ?bú ?bÿ?? pÿ??, ?jú’ ?b??g p??g tà ne ?v??.","And I was with you in weakness, and in fear, and in much trembling. # https://www.bible.com/fr/bible/1/1CO.2.KJV #3",,,,
"Ashwó?è gie á l???n ?k??? ncwò mè?, mb?? nò Kristo gie n da ne sá’a mbwo pi, l???n t? ?ny?? zsé nò nyì? meso? gie mé l?g ?gÿo nyì? z?í?e nò w??. Met?? Z?ìge Ssé z?? la ne ?gÿo ep??a gyá ngie áa nò nén??.","And my speech and my preachingwasnot with enticing words of man's wisdom, but in demonstration of the Spirit and of power: # https://www.bible.com/fr/bible/1/1CO.2.KJV #4",,,,
Pú’u légw?? gie g?i lezáb nt??m nà Ssé tè j??’? nà zsé nò p??a meso? w??. Á ge j??’? p?? nà met?? Ssé.,"that your faith should not stand in the wisdom of men, but in the power of God. # https://www.bible.com/fr/bible/1/1CO.2.KJV #5",,,,
"Peg pì? ?ké ?g?a ná p??a Kristo pie p?? cÿ?gté nà lez?b nt??m nà Ssé, ?zí’i w??b zsé nò. Tá y?? zsé nò ké tè zsé nò y??n njÿó w??, ?ké tè zsé nò gie á fóo mbwo shúm tepò? sie é sá’a y??n njÿó, ?gw?? sie mé ge gÿo pyág w??.","Howbeit we speak wisdom among them that are perfect: yet not the wisdom of this world, nor of the princes of this world, that come to nought: # https://www.bible.com/fr/bible/1/1CO.2.KJV #6",,,,
"Á g?a ná peg, mbà peg la’te yég p?? zsé nò Ssé gie ee nk??’? nò gie e k???n ?gw?? p?? lely?en, mbà Ssé la lá’ ?ny?te ?záb tà njÿó nyé té gw?? wó légw?? gie, à ge lá’ l?g ?náa legú’ wege.","but we speak the wisdom of God in a mystery,eventhe hiddenwisdom, which God ordained before the world unto our glory: # https://www.bible.com/fr/bible/1/1CO.2.KJV #7",,,,
"Tsoon tà’ nà shúm tepò? sie é sá’a y??n njÿó laa zsé y?? zsé nò w??. P?? la gwé’e ?zsé y?? zsé nò, mbà p?? la tè gÿo mé kime Ndè nà tÿ? nk?, á Ndè g?ie à g?iin legú’ w??.","which none of the princes of this world knew: for had they knownit, they would not have crucified the Lord of glory. # https://www.bible.com/fr/bible/1/1CO.2.KJV #8",,,,
Légw?? gie p??a pie é kwo?o yé ge gÿo z???’.,The things which God hath prepared for them that love him. # https://www.bible.com/fr/bible/1/1CO.2.KJV #9,,,,
"E Ssé ka pi? ?gÿo Z?ìge Nd?al??a gÿo pege z?? zsé y?? nò gie á laa lely?en. À Z?ìge Nd?al??a z??n mwoon z?i nò ntsèm, tà mb?? menò mie Ssé ny? ?g?iin p?? ts??? mvw??’.","But God hath revealedthemunto us by his Spirit: for the Spirit searcheth all things, yea, the deep things of God. # https://www.bible.com/fr/bible/1/1CO.2.KJV #10",,,,
À l??n ?gw?? aw?? zsé nò gie nyì? meso? ne ?kwa?a nt??m ye té gw?? p?? ngà?? Á gí? ?gw?? nd?? nd?? pá’ ts?? nyì? l??n ?gw?? á le zsé nò gie e Ssé ne ?kwa?a té gw?? p?? Z?ìge Ssé w??.,"For what man knoweth the things of a man, save the spirit of man which is in him? even so the things of God knoweth no man, but the Spirit of God. # https://www.bible.com/fr/bible/1/1CO.2.KJV #11",,,,
"Á g?a ná pege, mbà mé la tè náa z?ìge njÿó né pege w??. Mé la ná p?? Z?ìge gie á fóo mbwó Ssé né pege pá’ á ge gÿo pege zsé fù’ gie e Ssé la l?g ?cÿó gem yégè.","Now we have received, not the spirit of the world, but the spirit which is of God; that we might know the things that are freely given to us of God. # https://www.bible.com/fr/bible/1/1CO.2.KJV #12",,,,
"Pege tè gwaa g??n nò ná s?? shúm sie Ssé la náa mbwo pege ?d?g p?? shwó?è gie p??a meso? la l?g? zsé nò y??b ?zí’i wégè w??. Pege l?g p?? shwó?è gie Z?ìge Ssé zí’i wégè tá ?g??n nò m?. Á c?a pú’u, pege c??’? lé gw?? kyagte nò nà shúm sie é fóo mbwo Z?ìge Ssé, ?d?g p?? shwó?è gie á fóo mbwo Z?ìge Ssé tá ?kyagte.","Which things also we speak, not in the words which man's wisdom teacheth, but which the Holy Ghost teacheth; comparing spiritual things with spiritual. # https://www.bible.com/fr/bible/1/1CO.2.KJV #13",,,,
"Nyì? meso? l??n nyé ?gw?? p?? nà ntí gie mé la zyé yé á gw??, mbà à l??n ?gw?? á le jú’u mmó gie á fóo mbwo z?ìge Ssé w??. Áa mbwo ye ?gw?? p?? menò p??a. À tè ku’u lé jú’u nò gie á g??n w??. Á nue à Z?ìge Nd?al??a z? gÿo tá mé jú’u nò gie y?? mmó l?g? ?g??n.","But the natural man receiveth not the things of the Spirit of God: for they are foolishness unto him: neither can he knowthem, because they are spiritually discerned. # https://www.bible.com/fr/bible/1/1CO.2.KJV #14",,,,
"Nyì? g?ie à Z?ìge Nd?al??a áa ná ye, à ku’u létsa’a y?? nò w?? ntsèm ?díe. Tá ?g?a ná ye, mbà à l??n ?gw?? ts?? nyì? letsa’a yé nò ?díe w??.","But he that is spiritual judgeth all things, yet he himself is judged of no man. # https://www.bible.com/fr/bible/1/1CO.2.KJV #15",,,,
"Tá á ké ?g?a ná pege, mbà à l??n ngw?? gie Kristo ne ?kwa?a k?? w??, mbà pege zs?.","For who hath known the mind of the Lord, that he may instruct him? But we have the mind of Christ. # https://www.bible.com/fr/bible/1/1CO.2.KJV #16",,,,
"Mef?? p???n, mè? n ka c??’? lég??n nò mbwo pi, ?gyá ngie à l??n ?gw?? ? de g??n pá’ ngw?? n g??n nò mbwo p??a pie p?? jú’u ncwò Z?ìge Ssé w??. Mè? ka g??n p?? nà ntí gie ngw?? n g??n nò mbwo p??a pie p?? nyé ?jú’u p?? mmó gie mbùm y??b ne ?g??n. N g??n p?? pá’ à l??n ?gw?? n g??n nò mbwo p??a pie p?? ée nà lez?b nt??m ná Kristo, ?nyé ?gw?? p?? pû? mepÿ??.","And I, brethren, could not speak unto you as unto spiritual, but as unto carnal,evenas unto babes in Christ. # https://www.bible.com/fr/bible/1/1CO.3.KJV #1",,,,
"N ka náa g?i lep??. N tè ná shúm lejÿó mpf?? pf?? né pi w??, mélà’mie pi ka nyé tè ku’u lépf??? mmó. Tà mb?? f??’??n pi ny? p?? tè ku’u lé jú’u nò gie á t?? lé jú’,","I have fed you with milk, and not with meat: for hitherto ye were not ableto bear it, neither yet now are ye able. # https://www.bible.com/fr/bible/1/1CO.3.KJV #2",,,,
"anue mbùm gí z? nyé sá’a g?í, kèg??’ z??n nyé ?gw?? p?? tsets??? pi, pi ny? ?zo?o nò zo?. Mbùm gí z? t? ?d?g? ?nyé sá’a g?i w??? Pi t? ?d?g? pú’u, ?nyé ?gÿo p?? pá’ p??a njÿó gÿo w???","For ye are yet carnal: for whereasthere isamong you envying, and strife, and divisions, are ye not carnal, and walk as men? # https://www.bible.com/fr/bible/1/1CO.3.KJV #3",,,,
"Nyì? g?i ne?é tà ?g??n ngie yé gw?? p?? nyì? we P?l, wets?? g??n ngie à gw?? yé p?? nyì? we Apolos, mbà á téen ?d?g? nyé ?gw?? p?? shwó?è p??a njÿó w?? ka?","For while one saith, I am of Paul; and another, Iamof Apollos; are ye not carnal? # https://www.bible.com/fr/bible/1/1CO.3.KJV #4",,,,
Apolos aa pá’??n ?gw?? w??? P?l gw?? w??? Tá pi g??n pú’u? Peg ye gw?? p?? pafa’a fà’ Ssé pie pi la z???’? wég tá ?záb nt??m ná Y?sô Kristo. Aw??w??? ná peg yé gÿo p?? mmó gie C??ap??a la ná shÿó ngie à gÿo.,"Who then is Paul, and whoisApollos, but ministers by whom ye believed, even as the Lord gave to every man? # https://www.bible.com/fr/bible/1/1CO.3.KJV #5",,,,
"Mè? n ka paa tÿ? ssé, Apolos pf?te ntse m?. Tá e Ssé z?? gÿo á k?ág.","I have planted, Apollos watered; but God gave the increase. # https://www.bible.com/fr/bible/1/1CO.3.KJV #6",,,,
"Á gw?? pú’u, nyì? g?ie à paa tÿ? p?? nyì? g?ie à pf?te ntse téen ?d?g? ?gw?? ts?? mmó w??. E Ssé g?ie à gÿó á k?ága z? g?iin nò ntsèm.","So then neither is he that planteth any thing, neither he that watereth; but God that giveth the increase. # https://www.bible.com/fr/bible/1/1CO.3.KJV #7",,,,
Nyì? g?ie à paa tÿ? p?? nyì? g?ie à pf?te ntse m? pú ?gw?? p?? nd?? nd??. Aw??w??? ná p??b gw?? gÿo ?k?é wé nts?’?? fà’ é ku’u nà fà’ gie à f?’.,Now he that planteth and he that watereth are one: and every man shall receive his own reward according to his own labour. # https://www.bible.com/fr/bible/1/1CO.3.KJV #8,,,,
"Á nue peg puté ?n? fa’a p?? fà’a Ssé. Pi gw?? nká’ Ssé, ?gí? ?gw?? ndá gie Ssé ne ?kw???.","For we are labourers together with God: ye are God's husbandry,ye areGod's building. # https://www.bible.com/fr/bible/1/1CO.3.KJV #9",,,,
"E Ssé ka cÿó gem y???n, mè? n nu?e cÿó ndá pá’ ngà? levfò we mbò?o. Mè? n ka nu?e cÿó ndá, wets?? nyì? ne ?d?g? fà’ ?gee mvfò. À ne ?kw??? ndá ndùmó. Tá’ aw??w??? laga twó yé nà ntí gie à l?g? ?kw??? ndá ndùmó.","According to the grace of God which is given unto me, as a wise masterbuilder, I have laid the foundation, and another buildeth thereon. But let every man take heed how he buildeth thereupon. # https://www.bible.com/fr/bible/1/1CO.3.KJV #10",,,,
"Á g?a nà cÿó ndá, mbà á kéen ndá’ ?gw?? ssé, ?gw?? Y?sô Kristo. Nyì? l??n ?gw?? á legí? ?nu?e ts?? ye ndy??’? w??.","For other foundation can no man lay than that is laid, which is Jesus Christ. # https://www.bible.com/fr/bible/1/1CO.3.KJV #11",,,,
Ngw?? nyì? c??’? lépwoon ndá nà cÿó ?w?? ?d?g? t?? g??l ?bwóon. Wets?? nyì? l?g? t?? nkáb ?bwóon. Wets?? l?g? t?? nz?ì? metóon ?bwóon. Wets?? nyì? l?g yé p?? metÿ? ?kw??. Wets?? l?g? leg? nj?m kà p?? w?? ?bá’.,"Now if any man build upon this foundation gold, silver, precious stones, wood, hay, stubble; # https://www.bible.com/fr/bible/1/1CO.3.KJV #12",,,,
Mbà e tè ts?? ntsa? w??. Afà’ ye w??w??? ge lá’ k??? mángÿ??. Mé ge lá’ gyá á nà ly??’ gie mé ts??’te mentsa?. Á nue mm??g ge lá’ c?a nà fà’ ye w??w??? tá mé gyá pá’ áa j?’ó ?gw?? pú’u.,"every man's work shall be made manifest: for the day shall declare it, because it shall be revealed by fire; and the fire shall try every man's work of what sort it is. # https://www.bible.com/fr/bible/1/1CO.3.KJV #13",,,,
"Ammó gie nyì? la l?g ?kw?? ndá nà cÿó ndá ?w??, l??n ?dá’ tè shÿó, mbà ngà? ge lá’ k?é nts?’?? fà’.","If any man's work abide which he hath built thereupon, he shall receive a reward. # https://www.bible.com/fr/bible/1/1CO.3.KJV #14",,,,
"Tá fà’ ye nyì? l??n ?ké ?dá’ shÿó, mbà ngà? ge lá’ tá?a pyé, é ké ts??? ts??? tá’, é ts??? pá’ nyì? g?ie à t?g?? ts??? l??me mm??g tá ?ts??? la.","If any man's work shall be burned, he shall suffer loss: but he himself shall be saved; yet so as by fire. # https://www.bible.com/fr/bible/1/1CO.3.KJV #15",,,,
"Pi tè ne ?zsé ngie pi ee p??’?? ?gw??*j?’? Ssé, à Z?ìge Ssé ts?é tsoló w?? ka?","Know ye not that ye are the temple of God, andthatthe Spirit of God dwelleth in you? # https://www.bible.com/fr/bible/1/1CO.3.KJV #16",,,,
"Nyì? l??n ?tágte*j?’? Ssé, mbà Ssé ge gÿo tágte ngà? é gwá’. Á nue*j?’? Ssé á gw?? p?? yé gílé ye. Pi pi? ?g?iin le zsé ngie*j?’? Ssé ?w?? á l?g? ?gw?? p?? g?i w??.","If any man defile the temple of God, him shall God destroy; for the temple of God is holy, whichtempleye are. # https://www.bible.com/fr/bible/1/1CO.3.KJV #17",,,,
"MÀb???n nyì? léf?te twó mbùm yé. Nyì? l??n ?gw?? tsets??? pi ?ne ?kwa?a ngie p??a njÿó ne ?gyá ngie áa nzsé nò, á z??n ?v?g sele ?c??’? p??a tá ?deen ?ké ?gw?? kwà’ nzsé nò.","Let no man deceive himself. If any man among you seemeth to be wise in this world, let him become a fool, that he may be wise. # https://www.bible.com/fr/bible/1/1CO.3.KJV #18",,,,
"Á nue anò gie áa ts??? y??n njÿó ?gw?? zsé nò, áa mvfò Ssé ?gw?? p?? menò p??a. ?wà’ne Ssé z??n ?g??n ngie: «E Ssé l?g p?? lejÿ??’ nzsé nò ?d?g ?gwoon yé».","For the wisdom of this world is foolishness with God. For it is written, He taketh the wise in their own craftiness. # https://www.bible.com/fr/bible/1/1CO.3.KJV #19",,,,
?wà’ne Ssé gí?e ?g??n ngie: «C??ap??a zsé nkwa?á nò pàzsé nò. À zs? ngie é té ts?? mmó ku’».,"And again, The Lord knoweth the thoughts of the wise, that they are vain. # https://www.bible.com/fr/bible/1/1CO.3.KJV #20",,,,
"Pú’u la, tà nyì? g?i l?g pá’ aa nyì? we mákyè ?d?g ?ka’te. Á nue ak???k??? w??, gw?? p?? gí.",Therefore let no man glory in men. For all things are your's, # https://www.bible.com/fr/bible/1/1CO.3.KJV #21,,,
"À l??n ?gw?? p?? P?l, ?gw?? p?? Apolos, ?gw?? p?? Kéfas, ?gw?? p?? njÿó, ?gw?? p?? le gw?? wó ka p?? lekwé w??, ?gw?? p?? y??n kème njÿó ka gie à nyé tá ?tóo w??, mbà k???k??? w??, gw?? p?? mbwo pi.","whether Paul, or Apollos, or Cephas, or the world, or life, or death, or things present, or things to come; all are your's; # https://www.bible.com/fr/bible/1/1CO.3.KJV #22",,,,
"Tá á g?a ná pi, pi gw?? mbwo Kristo, Kristo pi? ?gw?? mbwo Ssé.",and ye are Christ's, and ChristisGod's. # https://www.bible.com/fr/bible/1/1CO.3.KJV #23,,,
"Pú’u la, pi líe wég pá’ pafa’a fà’ Kristo mb?? pá’ p??a pie p?? g?iin nò nà leky?’té nò Ssé gie á laa lely?en é shwó? p??a.","Let a man so account of us, as of the ministers of Christ, and stewards of the mysteries of God. # https://www.bible.com/fr/bible/1/1CO.4.KJV #1",,,,
"Ammó gie mé ne ?z?í’te mbwo p??a pie p?? g?iin nò nà fà’, á gw?? p?? ngie p?? zsé p?? ndà’ mmó gie mé z??te ngie p?? gÿo.","Moreover it is required in stewards, that a man be found faithful. # https://www.bible.com/fr/bible/1/1CO.4.KJV #2",,,,
"Á ké ?g?a ná mè?, mbà á té ne ?gege w???n pá’ à l??n ?gw?? pi g??n nò nà fà’ y???n m??. Kà p?? ts?? p??a mendy??’? lé?né?e ssé ?díe nò ?náa m? w??. Kwà’ mè?, ?gw?? n de zsé léshwó?e nyì? pá’ fà’ y???n áa pú’u w??.","But with me it is a very small thing that I should be judged of you, or of man's judgment: yea, I judge not mine own self. # https://www.bible.com/fr/bible/1/1CO.4.KJV #3",,,,
Áa nén?? ngie mbùm y???n tè ne ?cúa w???n nà ts?? nò w??. Tá mè? n t? ?d?g? ?g??n ngie ats??*l??’ té ná fà’ gie mè? n gÿo w?? w??. C??ap??a z? nyì? g?ie à g?iin létsa’a fà’ y???n.,For I know nothing by myself, yet am I not hereby justified: but he that judgeth me is the Lord. # https://www.bible.com/fr/bible/1/1CO.4.KJV #4,,,
"N d?g? pú’u, shwó?ó g?i ngie tà pi t?? njÿó ?g??n nò nà fà’a nyì? té gw?? gie f??’ k?’. Té gw?? gie C??ap??a t?. Yé z? ge gÿo ky?’? k???k??? w?? gie áa ts??? nz?m. À ge gÿo gÿo mé gyá ménkwa?á mie ée ts??? ment??m p??a. E Ssé lêen ?ké ?ná ng???nte ye w??w??? nà ntí gie á ne ?z??te ngie ngà? g?iin.","Therefore judge nothing before the time, until the Lord come, who both will bring to light the hidden things of darkness, and will make manifest the counsels of the hearts: and then shall every man have praise of God. # https://www.bible.com/fr/bible/1/1CO.4.KJV #5",,,,
"Mef?? p???n, mè? n g???n nò ?bi? ?da’te pá’ nò gie n g???n áa ná mè? ?gw??, mb?? pá’ áa ná Apolos ?gw?? pú’u. N da’te pú’u, p?? lél?g ?zí’i g?i mmó. Mè? n kw?? ngie pi fó ná peg ?zí’i mmó gie esag lekid gie e g??n ngie: Mb???n nyì? légÿo mmó tà ?t??g? gie mé la ?we’e, e l?g? ?g??n, ?d?g? shwó?ó g?i ngie nyì? g?i à tè g?iin lél?g pá’ aa nzèm wets?? nyì? ??á’te mvfò wets?? w??.","And these things, brethren, I have in a figure transferred to myself andtoApollos for your sakes; that ye might learn in us not to thinkof menabove that which is written, that no one of you be puffed up for one against another. # https://www.bible.com/fr/bible/1/1CO.4.KJV #6",,,,
"Ak?? z??n ?gÿo ?? kwa? ngie ?? c??a pets?? p??a? ?? g?iin k?? tà á té gw?? p?? gie e Ssé la ná né gù w??? À l??n ?gw?? gie e Ssé la ná né gù n?, mbà ?? pi?e ?d?g? ??á’te p?? pá’ f??’ gie e Ssé la tè ná né gù n? w?? mélà’a k???","For who maketh thee to differfrom another? and what hast thou that thou didst not receive? now if thou didst receiveit, why dost thou glory, as if thou hadst not receivedit? # https://www.bible.com/fr/bible/1/1CO.4.KJV #7",,,,
"Pi c??’? ?z??g? ngie pi kéen ndá’ ?bú ?g?iin shúm ntsèm sie é ka ne ?zága mbwo pi. Pi kéen ndá’ ?c??’ ngà?a mmó ká? Pi kéen ?v?g ?c??’ méfù? ?c?a wég lá? Tá á k?en pé’e pi gw?? méfù?, kwà’ nén??, mbà á pó?o w???n t?’, mbà à gw?? p?? pege.","Now ye are full, now ye are rich, ye have reigned as kings without us: and I would to God ye did reign, that we also might reign with you. # https://www.bible.com/fr/bible/1/1CO.4.KJV #8",,,,
"Mè? n ke n? ?gyá y???n ngie e Ssé ka g?a ná peg megà? ntúm ?náa yég j?’ á gw?? p?? nzsò nzèm. Pá’ p??a pie mé z?’ ntsa? y??b tà ne ?d?g? w??b ?kw??’? né gÿ?? pá’ mé ge z?éte w??b. Ngwò?o ngwò? ne ?gyá, ep??a meso? mb??*mecÿ??’ Ssé ne ?gyá y??b.","For I think that God hath set forth us the apostles last, as it were appointed to death: for we are made a spectacle unto the world, and to angels, and to men. # https://www.bible.com/fr/bible/1/1CO.4.KJV #9",,,,
"Anò Kristo kéen ?gÿo peg c??’ mep??a. Tá ?ké ?g?a ná pi, mbà pi kéen ?c?a ná Kristo ?zsé nò. Peg gw?? mepepÿ??? p??a. Pi g?iin met??. Mé gÿo mekù’ mí, ?bi? ?tóo ná peg ?gwága wég gw?g.","Wearefools for Christ's sake, but yearewise in Christ; weareweak, but yearestrong; yearehonourable, but wearedespised. # https://www.bible.com/fr/bible/1/1CO.4.KJV #10",,,,
Enzyè ee z??g? légyá?a wég. Agága yég z??g? léshÿó. Nzs? ma’ e tè wó w??. Mé ee z??g? p?? lécúa wég. Ats?? le gw?? g?ie ?gw?? peg p??le ?né?e tà’a j?’ à tè wó w??.,"Even unto this present hour we both hunger, and thirst, and are naked, and are buffeted, and have no certain dwellingplace; # https://www.bible.com/fr/bible/1/1CO.4.KJV #11",,,,
Kwà’ peg l?g mbwó még é fa’a fà’ tà ?zi’i tá ?g?iin yég mmó. Mé zóonte wég tá peg ts???n p?? nò mbò?o ná p??a. Mé k??e wég peg tè zo?.,"and labour, working with our own hands: being reviled, we bless; being persecuted, we suffer it: # https://www.bible.com/fr/bible/1/1CO.4.KJV #12",,,,
"Mé shwó?ó té po? nà lezí? ség, peg l?g p?? shwó?è mbò?o ?bÿ?. Tà ?kú f??’??n mé líe wég ?gyá peg gw?? p?? pá’ k???e sie ée ts??? njÿó, ?gw?? p?? pá’ mefùbe s???? mie ée tsets??? p??a meso?.","being defamed, we intreat: we are made as the filth of the world,and arethe offscouring of all things unto this day. # https://www.bible.com/fr/bible/1/1CO.4.KJV #13",,,,
